,,,,,,,,,,,,,,,,,,
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$197
,Wave 1,,,,11,11,-30,,,,,,456,"3,636","135,850",,,
,,6,Emergent Sentinel,F,1,1,0,0,35,"2,610","6,500",290,29,207,"6,600",,,
,Trigger,5,Awakened Keeper,C,1,1,-6,0,150,"2,115","30,000",235,56,479,"19,250",,,
,Wave 2,,,,7,9,-42,278,,,,,868,"6,930","250,323",,,
,,4,Emergent Keeper,F,0,0,-3,26,35,"2,880","5,000",320,22,171,"4,400",,,
,,4,Emergent Warden,F,1,1,-3,0,35,"3,150","5,000",350,41,293,"2,860",,,
,Trigger,3,Awakened Keeper,C,1,1,-6,0,150,"2,115","30,000",235,56,479,"19,250",,,
,,2,Awakened Sentinel,C,0,1,0,0,150,"1,800","15,000",200,76,778,"42,167",,,
,,3,Awakened Warden,C,0,0,0,58,150,"1,485","45,000",165,99,695,"26,400",,,
,Wave 3,,,,8,8,-78,,,,,,"2,302","20,849","489,846",,,
,,6,Emergent Warden,F,1,1,-3,0,35,"3,150","5,000",350,41,293,"2,860",,,
,Trigger,2,Sleepless Keeper,B,0,0,-12,0,400,945,"65,000",105,565,"3,802","88,629",,,
,,2,Sleepless Sentinel,B,1,1,-18,0,400,"1,125","19,000",125,465,"5,746","147,714",,,
,Wave 4,,,,2,2,-36,262,,,,,"2,232","22,709","538,424",,,
,,2,Awakened Keeper,C,1,1,-6,0,150,"2,115","30,000",235,56,479,"19,250",,,
,,2,Awakened Warden,C,0,0,0,58,150,"1,485","45,000",165,99,695,"26,400",,,
,,2,Sleepless Keeper,B,0,0,-12,0,400,945,"65,000",105,565,"3,802","88,629",,,
,,2,Sleepless Warden,B,0,0,0,73,400,"1,305","55,000",145,396,"6,379","134,933",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Forgotten Core Information Pen,,,,,,,,,,,,,,,,,
,Relic Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$332,900,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$206
,Wave 1,,,,,,-36,,,,,,"1,694","11,405","265,886",,,
,Trigger,3,Sleepless Keeper,B,0,0,-12,0,400,945,"65,000",105,565,"3,802","88,629",,,
,Opt,1,Sleepless Sentinel,B,1,1,-18,0,400,"1,125","19,000",125,465,"5,746","147,714",,,
,Wave 2,,Trigger on Hack,,,,-36,336,,,,,"1,615","11,066","300,457",,,
,,4,Emergent Keeper,F,0,0,-3,26,35,"2,880","5,000",320,22,171,"4,400",,,
,,4,Awakened Warden,C,0,0,0,58,150,"1,485","45,000",165,99,695,"26,400",,,
,,2,Sleepless Keeper,B,0,0,-12,0,400,945,"65,000",105,565,"3,802","88,629",,,
,Wave 3,,,,3,6,-54,310,,,,,"2,507","17,907","519,766",,,
,,3,Emergent Keeper,F,0,0,-3,26,35,"2,880","5,000",320,22,171,"4,400",,,
,,3,Emergent Warden,F,1,1,-3,0,35,"3,150","5,000",350,41,293,"2,860",,,
,,3,Awakened Sentinel,C,0,1,0,0,150,"1,800","15,000",200,76,778,"42,167",,,
,Trigger,4,Awakened Warden,C,0,0,0,58,150,"1,485","45,000",165,99,695,"26,400",,,
,,3,Sleepless Keeper,B,0,0,-12,0,400,945,"65,000",105,565,"3,802","88,629",,,
,Wave 4,,,,8,8,-96,,,,,,"3,210","22,093","531,583",,,
,,4,Emergent Warden,F,1,1,-3,0,35,"3,150","5,000",350,41,293,"2,860",,,
,,4,Awakened Keeper,C,1,1,-6,0,150,"2,115","30,000",235,56,479,"19,250",,,
,,5,Sleepless Keeper,B,0,0,-12,0,400,945,"65,000",105,565,"3,802","88,629",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Oruze Osobnyk,,,,,,,,,,,,,,,,,
,Anomaly,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$164,700,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$140
,Wave 1,,,,7,7,-66,,,,,,"2,077","21,866","558,171",,,
,,4,Emergent Sentinel,F,1,1,0,0,35,"2,610","6,500",290,29,207,"6,600",,,
,Opt,1,Sleepless Keeper,B,0,0,-12,0,400,945,"65,000",105,565,"3,802","88,629",,,
,Trigger,3,Sleepless Sentinel,B,1,1,-18,0,400,"1,125","19,000",125,465,"5,746","147,714",,,
,Wave 2,,,,2,7,-36,,,,,,"1,148","13,018","512,079",,,
,,6,Awakened Sentinel,C,0,1,0,0,150,"1,800","15,000",200,76,778,"42,167",,,
,Trigger,1,Sleepless Guardian,B,2,1,-36,0,400,"1,575","35,000",175,693,"8,352","259,079",,,
,Wave 3,,,,2,2,-18,278,,,,,467,"3,353","102,520",,,
,DTA,4,Emergent Keeper,F,0,0,-3,26,35,"2,880","5,000",320,22,171,"4,400",,,
,,2,Emergent Warden,F,1,1,-3,0,35,"3,150","5,000",350,41,293,"2,860",,,
,,3,Awakened Warden,C,0,0,0,58,150,"1,485","45,000",165,99,695,"26,400",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Quarantine Area,,,,,,,,,,,,,,,,,
,Anomaly,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$146,900,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$141
,Wave 1,,Random Trigger,,3,6,-30,,,,,,"1,019","12,807","285,448",,,
,,4,Restless Sentry Tower,T,0,0,0,0,50,0,0,0,94,"1,404","23,833",,,
,,3,Emergent Escort,F,0,1,0,0,35,"2,100","5,000",300,23,163,"1,300",,,
,,2,Awakened Keeper,C,1,1,-6,0,150,"2,115","30,000",235,56,479,"19,250",,,
,,1,Sleepless Sentinel,B,1,1,-18,0,400,"1,125","19,000",125,465,"5,746","147,714",,,
,Wave 2,,,,2,6,-36,,,,,,"1,233","14,602","464,095",,,
,,4,Awakened Sentinel,C,0,1,0,0,150,"1,800","15,000",200,76,778,"42,167",,,
,Trigger,2,Sleepless Sentinel,B,1,1,-18,0,400,"1,125","19,000",125,465,"5,746","147,714",,,
,Wave 3,,,,5,5,-24,174,,,,,"1,574","10,723","289,457",,,
,,5,Emergent Sentinel,F,1,1,0,0,35,"2,610","6,500",290,29,207,"6,600",,,
,,3,Awakened Warden,C,0,0,0,58,150,"1,485","45,000",165,99,695,"26,400",,,
,DTA,2,Sleepless Keeper,B,0,0,-12,0,400,945,"65,000",105,565,"3,802","88,629",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Unsecured Frontier Enclave Relay,,,,,,,,,,,,,,,,,
,Data Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$329,900,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$172
,Wave 1,,,,,,-36,,,,,,"2,159","17,150","413,600",,,
,Trigger,3,Sleepless Keeper,B,0,0,-12,0,400,945,"65,000",105,565,"3,802","88,629",,,
,Opt,1,Sleepless Sentinel,B,1,1,-18,0,400,"1,125","19,000",125,465,"5,746","147,714",,,
,Wave 2,,,,,,-39,362,,,,,"1,637","11,237","304,857",,,
,,5,Emergent Keeper,F,0,0,-3,26,35,"2,880","5,000",320,22,171,"4,400",,,
,,4,Awakened Warden,C,0,0,0,58,150,"1,485","45,000",165,99,695,"26,400",,,
,Trigger,2,Sleepless Keeper,B,0,0,-12,0,400,945,"65,000",105,565,"3,802","88,629",,,
,Wave 3,,,,4,7,-45,310,,,,,"1,982","14,398","433,997",,,
,,3,Emergent Keeper,F,0,0,-3,26,35,"2,880","5,000",320,22,171,"4,400",,,
,,4,Emergent Warden,F,1,1,-3,0,35,"3,150","5,000",350,41,293,"2,860",,,
,,3,Awakened Sentinel,C,0,1,0,0,150,"1,800","15,000",200,76,778,"42,167",,,
,,4,Awakened Warden,C,0,0,0,58,150,"1,485","45,000",165,99,695,"26,400",,,
,Trigger,2,Sleepless Keeper,B,0,0,-12,0,400,945,"65,000",105,565,"3,802","88,629",,,
,Wave 4,,,,3,3,-9,539,,,,,"2,399","34,858","762,447",,,
,,3,Emergent Warden,F,1,1,-3,0,35,"3,150","5,000",350,41,293,"2,860",,,
,,3,Awakened Warden,C,0,0,0,58,150,"1,485","45,000",165,99,695,"26,400",,,
,,5,Sleepless Warden,B,0,0,0,73,400,"1,305","55,000",145,396,"6,379","134,933",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Unsecured Frontier Server Bank,,,,,,,,,,,,,,,,,
,Data Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$272,100,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$206
,Wave 1,,,,10,10,-30,,,,,,427,"3,429","129,250",,,
,,5,Emergent Sentinel,F,1,1,0,0,35,"2,610","6,500",290,29,207,"6,600",,,
,Trigger,5,Awakened Keeper,C,1,1,-6,0,150,"2,115","30,000",235,56,479,"19,250",,,
,Wave 2,,,,7,9,-42,310,,,,,960,"7,640","288,713",,,
,,3,Emergent Keeper,F,0,0,-3,26,35,"2,880","5,000",320,22,171,"4,400",,,
,,3,Emergent Warden,F,1,1,-3,0,35,"3,150","5,000",350,41,293,"2,860",,,
,Trigger,4,Awakened Keeper,C,1,1,-6,0,150,"2,115","30,000",235,56,479,"19,250",,,
,,2,Awakened Sentinel,C,0,1,0,0,150,"1,800","15,000",200,76,778,"42,167",,,
,,4,Awakened Warden,C,0,0,0,58,150,"1,485","45,000",165,99,695,"26,400",,,
,Wave 3,,,,6,6,-57,,,,,,"1,797","14,811","339,271",,,
,,5,Emergent Warden,F,1,1,-3,0,35,"3,150","5,000",350,41,293,"2,860",,,
,Trigger,2,Sleepless Keeper,B,0,0,-12,0,400,945,"65,000",105,565,"3,802","88,629",,,
,,1,Sleepless Sentinel,B,1,1,-18,0,400,"1,125","19,000",125,465,"5,746","147,714",,,
,Wave 4,,,,2,2,-36,320,,,,,"2,331","23,404","564,824",,,
,,2,Awakened Keeper,C,1,1,-6,0,150,"2,115","30,000",235,56,479,"19,250",,,
,,3,Awakened Warden,C,0,0,0,58,150,"1,485","45,000",165,99,695,"26,400",,,
,,2,Sleepless Keeper,B,0,0,-12,0,400,945,"65,000",105,565,"3,802","88,629",,,
,,2,Sleepless Warden,B,0,0,0,73,400,"1,305","55,000",145,396,"6,379","134,933",,,
