,,,,,,,,,,,,,,,,,,
,,2,Awakened Defender,C,0,0,0,0,150,"1,480","15,000",185,59,605,"26,833",,,
,,1,Sleepless Defender,B,0,1,0,0,400,920,"19,000",115,362,"4,469","94,000",,,
,,1,Sleepless Preserver,B,0,0,0,65,400,"1,080","55,000",135,308,"4,962","85,867",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,The Oruze Construct,,,,,,,,,,,,,,,,,
,Anomaly,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$44,500,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$150
,Wave 1,,,,,4,-24,52,,,,,397,"4,214","96,133",,,
,,2,Wakeful Sentry Tower,T,0,0,0,0,50,0,0,0,73,"1,092","15,167",,,
,Trigger,4,Awakened Upholder,C,0,1,-6,0,150,"1,728","30,000",216,43,372,"12,250",,,
,Opt,1,Awakened Preserver,C,0,0,0,52,150,"1,240","45,000",155,77,540,"16,800",,,
,Wave 2,,,,,5,,,,,,,453,"5,113","110,800",,,
,,4,Emergent Defender,F,0,1,0,0,35,"2,160","6,500",270,23,161,"4,200",,,
,Trigger,1,Sleepless Defender,B,0,1,0,0,400,920,"19,000",115,362,"4,469","94,000",,,
,Wave 3,,,,,,-10,104,,,,,593,"4,038","90,000",,,
,,2,Awakened Preserver,C,0,0,0,52,150,"1,240","45,000",155,77,540,"16,800",,,
,,1,Sleepless Upholder,B,0,0,-10,0,400,800,"65,000",100,439,"2,957","56,400",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Unsecured Frontier Database,,,,,,,,,,,,,,,,,
,Data Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$88,400,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$176
,Wave 1,,,,3,3,-9,,,,,,271,"2,497","85,960",,,
,Trigger,3,Emergent Preserver,F,1,1,-3,0,35,"2,600","5,000",325,32,228,"1,820",,,
,,3,Awakened Defender,C,0,0,0,0,150,"1,480","15,000",185,59,605,"26,833",,,
,Wave 2,,,,,4,-24,,,,,,410,"3,909","156,333",,,
,Trigger,4,Awakened Defender,C,0,0,0,0,150,"1,480","15,000",185,59,605,"26,833",,,
,,4,Awakened Upholder,C,0,1,-6,0,150,"1,728","30,000",216,43,372,"12,250",,,
,Wave 3,,,,,6,-28,,,,,,638,"4,557","105,750",,,
,,3,Emergent Defender,F,0,1,0,0,35,"2,160","6,500",270,23,161,"4,200",,,
,,3,Awakened Upholder,C,0,1,-6,0,150,"1,728","30,000",216,43,372,"12,250",,,
,Trigger,1,Sleepless Upholder,B,0,0,-10,0,400,800,"65,000",100,439,"2,957","56,400",,,
,Wave 4,,,,2,5,-44,,,,,,"1,072","7,486","153,190",,,
,,2,Emergent Preserver,F,1,1,-3,0,35,"2,600","5,000",325,32,228,"1,820",,,
,,3,Awakened Upholder,C,0,1,-6,0,150,"1,728","30,000",216,43,372,"12,250",,,
,,2,Sleepless Upholder,B,0,0,-10,0,400,800,"65,000",100,439,"2,957","56,400",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Unsecured Frontier Receiver,,,,,,,,,,,,,,,,,
,Data Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$75,100,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$150
,Wave 1,,,,,5,,156,,,,,346,"2,426","71,400",,,
,,5,Emergent Defender,F,0,1,0,0,35,"2,160","6,500",270,23,161,"4,200",,,
,Trigger,3,Awakened Preserver,C,0,0,0,52,150,"1,240","45,000",155,77,540,"16,800",,,
,Wave 2,,,,,3,-18,52,,,,,385,"3,472","134,050",,,
,,3,Awakened Defender,C,0,0,0,0,150,"1,480","15,000",185,59,605,"26,833",,,
,Trigger,1,Awakened Preserver,C,0,0,0,52,150,"1,240","45,000",155,77,540,"16,800",,,
,,3,Awakened Upholder,C,0,1,-6,0,150,"1,728","30,000",216,43,372,"12,250",,,
,Wave 3,,,,,1,-12,76,,,,,431,"5,001","105,200",,,
,,4,Emergent Upholder,F,0,0,-3,19,35,"2,400","5,000",300,17,133,"2,800",,,
,Trigger on Attack,1,Sleepless Defender,B,0,1,0,0,400,920,"19,000",115,362,"4,469","94,000",,,
,Wave 4,,,,,4,,130,,,,,707,"10,567","188,533",,,
,,4,Emergent Defender,F,0,1,0,0,35,"2,160","6,500",270,23,161,"4,200",,,
,,2,Sleepless Preserver,B,0,0,0,65,400,"1,080","55,000",135,308,"4,962","85,867",,,
