,,,,,,,,,,,,,,,,,,
,Wave 2,,,,,,-9,,,,,,202,"1,443","42,000",,,
,,3,Emergent Watchman,F,0,0,-3,0,35,"1,925","5,000",275,12,95,"2,000",,,
,Trigger,3,Awakened Escort,C,0,0,0,0,150,980,"45,000",140,55,386,"12,000",,,
,Wave 3,,,,,,-12,,,,,,172,"1,304","41,500",,,
,,2,Awakened Escort,C,0,0,0,0,150,980,"45,000",140,55,386,"12,000",,,
,,2,Awakened Watchman,C,0,0,-6,0,150,"1,400","30,000",200,31,266,"8,750",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Unsecured Perimeter Information Center,,,,,,,,,,,,,,,,,
,Data Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$11,800,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$74
,Wave 1,,,,,,-3,,,,,,103,872,"30,167",,,
,,3,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,,
,,1,Emergent Watchman,F,0,0,-3,0,35,"1,925","5,000",275,12,95,"2,000",,,
,Trigger,1,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,Wave 2,,,,,,-3,,,,,,139,"1,391","59,500",,,
,,1,Emergent Watchman,F,0,0,-3,0,35,"1,925","5,000",275,12,95,"2,000",,,
,Trigger,3,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,Wave 3,,,,,,-18,,,,,,210,"1,892","70,583",,,
,,2,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,,
,,2,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,,3,Awakened Watchman,C,0,0,-6,0,150,"1,400","30,000",200,31,266,"8,750",,,
