,,,,,,,,,,,,,,,,,,
,,2,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,,
,Trigger,3,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,Wave 2,,,,,,,,,,,,194,"1,636","62,333",,,
,,2,Awakened Escort,C,0,0,0,0,150,980,"45,000",140,55,386,"12,000",,,
,Trigger,2,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,Wave 3,,,,,,,,,,,,307,"3,537","99,000",,,
,,3,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,,
,,1,Sleepless Patroller,B,0,0,0,0,400,735,"19,000",105,258,"3,192","90,000",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Perimeter Hangar,,,,,,,,,,,,,,,,,
,Anomaly,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$15,600,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$74
,Wave 1,,,,,,-6,,,,,,151,"1,486","61,500",,,
,,2,Emergent Watchman,F,0,0,-3,0,35,"1,925","5,000",275,12,95,"2,000",,,
,Trigger,3,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,Wave 2,,,,,,,,,,,,424,"2,884","64,286",,,
,Trigger,2,Awakened Escort,C,0,0,0,0,150,980,"45,000",140,55,386,"12,000",,,
,,1,Sleepless Watchman,B,0,0,0,0,400,630,"65,000",90,314,"2,112","40,286",,,
,Wave 3,,,,,,,,,,,,330,"4,316","85,333",,,
,,2,Awakened Escort,C,0,0,0,0,150,980,"45,000",140,55,386,"12,000",,,
,,1,Sleepless Escort,B,0,0,0,0,400,875,"55,000",125,220,"3,544","61,333",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Sleeper Data Sanctuary,,,,,,,,,,,,,,,,,
,Anomaly,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$11,600,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$46
,Wave 1,,,,,,,,,,,,315,"3,457","65,500",,,
,,3,Vigilant Sentry Tower,T,0,0,0,0,50,0,0,0,52,780,"10,833",,,
,,3,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,,
,Trigger,2,Awakened Escort,C,0,0,0,0,150,980,"45,000",140,55,386,"12,000",,,
,Wave 2,,,,,4,,,,,,,310,"4,194","66,533",,,
,,4,Emergent Escort,F,0,1,0,0,35,"2,100","5,000",300,23,163,"1,300",,,
,Trigger,1,Sleepless Escort,B,0,0,0,0,400,875,"55,000",125,220,"3,544","61,333",,,
,Wave 3,,,,,,-10,,,,,,385,"4,640","117,763",,,
,,1,Sleepless Outguard,B,0,0,-10,0,400,"1,050","15,000",150,385,"4,640","117,763",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,The Ruins of Enclave Cohort 27,,,,,,,,,,,,,,,,,
,Anomaly,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$15,600,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$58
,Wave 1,,,,,,,,,,,,356,"3,882","108,000",,,
,Trigger,6,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,,
,,1,Sleepless Patroller,B,0,0,0,0,400,735,"19,000",105,258,"3,192","90,000",,,
,Wave 3,,,,,,-3,,,,,,223,"2,255","97,833",,,
,,1,Emergent Watchman,F,0,0,-3,0,35,"1,925","5,000",275,12,95,"2,000",,,
,Trigger,5,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,Wave 2,,,,,,,,,,,,220,"3,544","61,333",,,
,Opt?,1,Sleepless Escort,B,0,0,0,0,400,875,"55,000",125,220,"3,544","61,333",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Unsecured Perimeter Comms Relay,,,,,,,,,,,,,,,,,
,Data Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$20,200,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$54
,Wave 1,,,,,,-22,,,,,,531,"6,036","173,596",,,
,,2,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,Trigger,2,Awakened Watchman,C,0,0,-6,0,150,"1,400","30,000",200,31,266,"8,750",,,
,Opt,1,Sleepless Outguard,B,0,0,-10,0,400,"1,050","15,000",150,385,"4,640","117,763",,,
,Wave 2,,,,,,-6,,,,,,283,"3,382","94,000",,,
,,2,Emergent Watchman,F,0,0,-3,0,35,"1,925","5,000",275,12,95,"2,000",,,
,Trigger,1,Sleepless Patroller,B,0,0,0,0,400,735,"19,000",105,258,"3,192","90,000",,,
,Wave 3,,,,,,,,,,,,566,"5,886","107,619",,,
,,2,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,,
,,1,Sleepless Escort,B,0,0,0,0,400,875,"55,000",125,220,"3,544","61,333",,,
,,1,Sleepless Watchman,B,0,0,0,0,400,630,"65,000",90,314,"2,112","40,286",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Unsecured Perimeter Transponder Farm,,,,,,,,,,,,,,,,,
,Data Signature,,,,Effect(s),,,,,,Orbit,,,,,,Blue Loot,"$26,700,000"
,,Qty,Sleeper,Class,Scram,Web,Neut,RRep,Sig,Speed,Distance,Velocity,DPS,Alpha,EHP,,ISK/EHP,$68
,Wave 1,,,,,2,,,,,,,188,"1,736","63,100",,,
,Trigger,2,Emergent Escort,F,0,1,0,0,35,"2,100","5,000",300,23,163,"1,300",,,
,,1,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,,
,,3,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,Wave 2,,,,,2,-6,,,,,,245,"2,319","88,017",,,
,,2,Emergent Escort,F,0,1,0,0,35,"2,100","5,000",300,23,163,"1,300",,,
,Trigger,4,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
,,1,Awakened Watchman,C,0,0,-6,0,150,"1,400","30,000",200,31,266,"8,750",,,
,Wave 3,,,,,4,,,,,,,414,"4,302","107,200",,,
,Trigger,4,Emergent Escort,F,0,1,0,0,35,"2,100","5,000",300,23,163,"1,300",,,
,,4,Emergent Patroller,F,0,0,0,0,35,"1,750","8,000",250,16,115,"3,000",,,
,,1,Sleepless Patroller,B,0,0,0,0,400,735,"19,000",105,258,"3,192","90,000",,,
,Wave 4,,,,,4,,,,,,,466,"3,968","137,033",,,
,,4,Emergent Escort,F,0,1,0,0,35,"2,100","5,000",300,23,163,"1,300",,,
,,3,Awakened Escort,C,0,0,0,0,150,980,"45,000",140,55,386,"12,000",,,
,,5,Awakened Patroller,C,0,0,0,0,150,"1,190","15,000",170,42,432,"19,167",,,
